Sample	aligned	error_rate
Batch1_Ctrl.JK10_S9	99.52543912	0.3
Batch1_Ctrl.JK12_S3	99.59418753	0.27
Batch1_Ctrl.JK13_S4	99.61688101	0.26
Batch1_Ctrl.JK14_S11	99.48040529	0.32
Batch1_Ctrl.JK15_S9	99.65777827	0.24
Batch1_Ctrl.JK16_S12	99.47394547	0.31
Batch1_Ctrl.JK18_S10	99.68432469	0.24
Batch1_Ctrl.JK19_S6	99.63501089	0.26
Batch1_Ctrl.JK1_S1	99.5412609	0.26
Batch1_Ctrl.JK20_S9	99.64537242	0.27
Batch1_Ctrl.JK21_S2	99.51401148	0.29
Batch1_Ctrl.JK22_S3	99.51735966	0.29
Batch1_Ctrl.JK24_S6	99.62153309	0.26
Batch1_Ctrl.JK26_S10	99.55645244	0.29
Batch1_Ctrl.JK28_S8	99.62146488	0.27
Batch1_Ctrl.JK2_S1	99.56910899	0.25
Batch1_Ctrl.JK31_S7	99.57294891	0.25
Batch1_Ctrl.JK32_S5	99.53512444	0.31
Batch1_Ctrl.JK33_S8	99.57722258	0.26
Batch1_Ctrl.JK35_S7	99.52445213	0.29
Batch1_Ctrl.JK36_S8	99.44560866	0.31
Batch1_Ctrl.JK3_S2	99.6248018	0.26
Batch1_Ctrl.JK4_S3	99.62149053	0.26
Batch1_Ctrl.JK5_S4	99.63296691	0.25
Batch1_Ctrl.JK7_S2	99.62652464	0.24
Batch1_Ctrl.JK9_S1	99.45304336	0.3
Batch1_Unctrl.JK11_S10	99.55790046	0.33
Batch1_Unctrl.JK17_S5	99.67215783	0.24
Batch1_Unctrl.JK23_S7	99.62276424	0.25
Batch1_Unctrl.JK25_S4	99.50301376	0.29
Batch1_Unctrl.JK27_S11	99.62416182	0.24
Batch1_Unctrl.JK29_S11	99.58591831	0.29
Batch1_Unctrl.JK34_S6	99.41703649	0.32
Batch1_Unctrl.JK6_S5	99.50500524	0.26
Batch1_Unctrl.JK8_S12	99.447615	0.26
Batch2_Ctrl.CB13_S9	99.38904836	0.28
Batch2_Ctrl.CB16_S12	99.51509795	0.28
Batch2_Ctrl.CB17_S5	99.5982205	0.28
Batch2_Ctrl.CB19_S7	99.55095771	0.27
Batch2_Ctrl.CB20_S13	99.52400015	0.27
Batch2_Ctrl.CB21_S8	99.59232299	0.28
Batch2_Ctrl.CB23_S9	99.51402923	0.29
Batch2_Ctrl.CB24_S10	99.57615598	0.28
Batch2_Ctrl.CB30_S2	99.48863142	0.28
Batch2_Ctrl.CB34_S5	99.51625546	0.27
Batch2_Ctrl.CB35_S6	99.46546671	0.28
Batch2_Ctrl.CB37_S7	99.37505731	0.28
Batch2_Ctrl.CB38_S12	99.46392333	0.27
Batch2_Ctrl.CB39_S13	99.45979083	0.28
Batch2_Ctrl.CB41_S15	99.33375427	0.28
Batch2_Ctrl.CB42_S16	99.38115437	0.28
Batch2_Ctrl.CB43_S17	99.29316264	0.32
Batch2_Ctrl.CB44_S18	99.40143795	0.27
Batch2_Ctrl.CB45_S8	99.37356954	0.28
Batch2_Ctrl.CB47_S9	99.35365738	0.3
Batch2_Ctrl.CB48_S10	99.28025997	0.29
Batch2_Ctrl.CB49_S11	99.46584396	0.28
Batch2_Ctrl.CB50_S12	99.20595066	0.29
Batch2_Ctrl.CB51_S13	99.40443026	0.28
Batch2_Ctrl.CB54_S19	99.45248856	0.29
Batch2_Ctrl.CB55_S16	99.48701286	0.3
Batch2_Ctrl.CB56_S17	99.47856978	0.29
Batch2_Ctrl.CB57_S18	99.40968428	0.29
Batch2_Unctrl.CB15_S11	99.55476594	0.28
Batch2_Unctrl.CB22_S14	99.43355887	0.29
Batch2_Unctrl.CB25_S11	99.49784104	0.27
Batch2_Unctrl.CB26_S15	99.54565452	0.28
Batch2_Unctrl.CB27_S16	99.50710537	0.28
Batch2_Unctrl.CB28_S1	99.51903279	0.28
